<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GBPUSD,60,20190405,210000,1.3015000,1.3036000,1.3007000,1.3034000,52717
GBPUSD,60,20190405,220000,1.3034000,1.3036000,1.3023000,1.3029000,57429
GBPUSD,60,20190405,230000,1.3029000,1.3037000,1.3020000,1.3034000,42630
GBPUSD,60,20190406,000000,1.3035000,1.3039000,1.3027000,1.3034000,25013
GBPUSD,60,20190406,010000,1.3032000,1.3040000,1.3032000,1.3036000,5
GBPUSD,60,20190407,230000,1.3028000,1.3039000,1.3027000,1.3038000,71
GBPUSD,60,20190408,000000,1.3038000,1.3039000,1.3033000,1.3038000,63
GBPUSD,60,20190408,010000,1.3039000,1.3042000,1.3022000,1.3030000,18410
GBPUSD,60,20190408,020000,1.3029000,1.3039000,1.3026000,1.3035000,24361
GBPUSD,60,20190408,030000,1.3035000,1.3038000,1.3031000,1.3038000,21763
GBPUSD,60,20190408,040000,1.3038000,1.3053000,1.3032000,1.3047000,34577
GBPUSD,60,20190408,050000,1.3047000,1.3048000,1.3037000,1.3047000,31275
GBPUSD,60,20190408,060000,1.3047000,1.3061000,1.3043000,1.3054000,32148
GBPUSD,60,20190408,070000,1.3054000,1.3072000,1.3052000,1.3066000,37539
GBPUSD,60,20190408,080000,1.3066000,1.3072000,1.3061000,1.3065000,33930
GBPUSD,60,20190408,090000,1.3065000,1.3069000,1.3057000,1.3058000,33862
GBPUSD,60,20190408,100000,1.3059000,1.3064000,1.3051000,1.3056000,71470
GBPUSD,60,20190408,110000,1.3055000,1.3063000,1.3043000,1.3058000,128755
GBPUSD,60,20190408,120000,1.3058000,1.3066000,1.3051000,1.3054000,108793
GBPUSD,60,20190408,130000,1.3054000,1.3065000,1.3042000,1.3062000,111133
GBPUSD,60,20190408,140000,1.3062000,1.3062000,1.3041000,1.3054000,102046
GBPUSD,60,20190408,150000,1.3053000,1.3057000,1.3042000,1.3048000,102837
GBPUSD,60,20190408,160000,1.3048000,1.3060000,1.3040000,1.3059000,104559
GBPUSD,60,20190408,170000,1.3059000,1.3061000,1.3034000,1.3048000,130176
GBPUSD,60,20190408,180000,1.3047000,1.3059000,1.3037000,1.3047000,102107
GBPUSD,60,20190408,190000,1.3047000,1.3052000,1.3033000,1.3046000,83382
GBPUSD,60,20190408,200000,1.3046000,1.3069000,1.3044000,1.3059000,41726
GBPUSD,60,20190408,210000,1.3058000,1.3074000,1.3055000,1.3069000,29390
